id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
95906,Female,59,1,3,1,1-2 Year,No,33893.0,26.0,168,0
341234,Female,24,1,3,1,< 1 Year,No,20351.0,160.0,11,0
44171,Male,38,1,1,1,1-2 Year,No,48167.0,26.0,286,0
241758,Male,41,1,5,0,> 2 Years,Yes,39027.0,26.0,218,1
68480,Male,24,1,3,1,< 1 Year,No,44222.0,152.0,251,0
305176,Female,52,1,5,0,1-2 Year,Yes,39280.0,26.0,23,1
215420,Male,39,1,2,0,1-2 Year,Yes,23251.0,124.0,152,0
231074,Female,29,1,2,1,< 1 Year,No,27538.0,152.0,54,0
354781,Male,36,1,2,0,1-2 Year,Yes,27119.0,152.0,177,0
114725,Female,33,1,5,1,< 1 Year,No,47300.0,152.0,83,0
204107,Female,23,1,3,1,< 1 Year,Yes,25363.0,152.0,86,0
309825,Male,39,1,5,1,1-2 Year,No,32980.0,124.0,44,0
165883,Male,66,1,3,0,> 2 Years,Yes,37677.0,124.0,39,0
15447,Female,25,1,1,1,< 1 Year,No,24903.0,152.0,109,0
105224,Female,69,1,1,1,1-2 Year,No,53237.0,7.0,114,0
92623,Male,46,1,3,0,> 2 Years,Yes,47513.0,26.0,50,1
333328,Male,73,1,1,0,1-2 Year,Yes,45448.0,26.0,72,0
380577,Female,51,1,3,0,1-2 Year,Yes,52918.0,26.0,93,1
217850,Male,48,1,5,0,> 2 Years,Yes,2630.0,124.0,236,0
62088,Female,58,1,3,1,1-2 Year,No,31791.0,26.0,194,0
140323,Male,53,1,5,0,1-2 Year,Yes,23040.0,124.0,263,1
361684,Male,51,1,3,0,1-2 Year,Yes,23532.0,124.0,109,0
229886,Male,22,1,2,0,< 1 Year,Yes,32857.0,152.0,54,0
41754,Female,22,1,2,0,< 1 Year,Yes,29927.0,26.0,53,0
295674,Female,29,1,1,0,1-2 Year,Yes,2630.0,156.0,187,0
106278,Female,50,1,5,0,1-2 Year,Yes,38702.0,124.0,13,1
125200,Female,29,1,3,1,< 1 Year,No,26400.0,152.0,36,0
373274,Male,23,1,1,1,< 1 Year,No,37763.0,152.0,293,0
198003,Male,21,1,5,1,< 1 Year,No,48701.0,160.0,235,0
86252,Female,44,1,5,0,> 2 Years,Yes,34829.0,26.0,136,1
278733,Male,22,1,5,0,1-2 Year,Yes,26208.0,124.0,258,1
147795,Female,24,1,1,1,< 1 Year,Yes,39250.0,152.0,92,0
314268,Male,46,1,3,0,1-2 Year,No,2630.0,26.0,33,0
329147,Male,40,1,5,0,1-2 Year,Yes,32119.0,124.0,230,0
11084,Male,23,1,5,1,< 1 Year,No,33155.0,152.0,176,0
111006,Male,49,1,3,1,1-2 Year,No,49302.0,124.0,27,0
313220,Male,28,1,4,0,1-2 Year,Yes,21164.0,154.0,119,0
230992,Male,53,1,3,0,1-2 Year,Yes,35664.0,26.0,39,0
99206,Female,26,1,3,1,< 1 Year,No,28982.0,152.0,85,0
320442,Male,77,1,1,1,1-2 Year,No,38520.0,30.0,151,0
342336,Male,34,1,3,0,1-2 Year,Yes,30385.0,124.0,174,0
186338,Male,23,1,4,1,< 1 Year,No,29653.0,152.0,104,0
81984,Male,23,1,5,1,< 1 Year,No,43076.0,26.0,284,0
238183,Male,37,1,1,0,1-2 Year,Yes,28913.0,154.0,40,1
49216,Female,33,1,1,0,1-2 Year,Yes,2630.0,124.0,250,0
110445,Male,26,1,2,1,< 1 Year,No,74839.0,160.0,281,0
366578,Male,22,1,3,0,< 1 Year,Yes,34260.0,152.0,97,0
326931,Male,25,1,1,1,< 1 Year,No,44787.0,152.0,202,0
140158,Male,64,1,4,1,1-2 Year,No,2630.0,26.0,106,0
138471,Female,28,1,2,1,< 1 Year,No,26779.0,152.0,157,0
29118,Female,29,1,1,1,< 1 Year,No,34291.0,152.0,254,0
318661,Male,25,1,3,1,< 1 Year,No,29379.0,152.0,256,0
287113,Female,25,1,4,1,< 1 Year,No,2630.0,152.0,143,0
277528,Male,27,1,1,1,< 1 Year,No,23748.0,152.0,179,0
246675,Male,47,1,3,0,1-2 Year,Yes,39069.0,124.0,288,0
20023,Male,55,1,1,0,1-2 Year,No,28580.0,26.0,216,0
286593,Female,59,1,4,1,1-2 Year,No,24412.0,138.0,12,0
39523,Male,38,1,3,0,> 2 Years,Yes,47264.0,124.0,262,0
279942,Female,27,1,2,0,< 1 Year,Yes,25731.0,152.0,204,0
144919,Female,80,1,2,1,1-2 Year,No,28487.0,124.0,32,0
296720,Female,61,1,3,0,1-2 Year,Yes,36498.0,124.0,245,1
119494,Female,68,1,2,0,1-2 Year,Yes,23986.0,26.0,193,0
178222,Male,30,1,3,0,1-2 Year,Yes,37452.0,26.0,204,0
160102,Female,40,1,3,0,1-2 Year,Yes,36796.0,26.0,57,0
241065,Male,40,1,3,0,1-2 Year,Yes,2630.0,163.0,77,0
226009,Male,57,1,2,1,1-2 Year,No,31546.0,124.0,288,0
11377,Male,49,1,1,0,1-2 Year,Yes,31349.0,26.0,56,0
113306,Male,33,1,4,0,1-2 Year,Yes,35309.0,124.0,200,1
195824,Female,20,1,1,0,< 1 Year,Yes,48636.0,160.0,265,0
36794,Male,32,1,1,1,< 1 Year,No,35137.0,152.0,243,0
166508,Male,32,1,5,1,< 1 Year,No,27105.0,152.0,284,0
176951,Female,41,1,5,1,1-2 Year,No,37323.0,26.0,64,0
121975,Male,41,1,5,1,1-2 Year,No,2630.0,154.0,281,0
117624,Male,46,1,5,1,1-2 Year,No,31620.0,124.0,110,0
232381,Male,22,1,1,0,< 1 Year,Yes,43887.0,152.0,130,1
16931,Female,23,1,4,0,< 1 Year,No,36300.0,152.0,251,0
24478,Female,43,1,3,0,1-2 Year,Yes,2630.0,26.0,214,0
27311,Male,43,1,3,0,1-2 Year,No,2630.0,26.0,101,0
23071,Male,24,1,4,1,< 1 Year,No,41027.0,152.0,279,0
380015,Male,41,1,3,0,1-2 Year,Yes,25520.0,124.0,183,0
113757,Male,42,1,5,1,1-2 Year,No,28053.0,124.0,209,0
10240,Female,78,1,3,0,1-2 Year,Yes,58548.0,26.0,230,0
46290,Male,71,1,3,0,1-2 Year,No,35694.0,122.0,133,0
357291,Female,55,1,3,0,1-2 Year,Yes,43924.0,26.0,280,0
167655,Male,52,1,3,0,1-2 Year,No,32340.0,26.0,245,0
307487,Male,41,1,1,0,1-2 Year,Yes,2630.0,7.0,18,0
253080,Female,53,1,3,1,1-2 Year,No,31482.0,24.0,16,0
143605,Male,50,1,3,0,1-2 Year,Yes,24700.0,124.0,145,0
278612,Male,42,1,3,0,1-2 Year,Yes,31369.0,26.0,207,0
80252,Female,21,1,3,1,< 1 Year,No,39205.0,152.0,186,0
131440,Male,56,1,2,0,1-2 Year,Yes,2630.0,124.0,187,0
163467,Male,40,1,4,0,1-2 Year,Yes,2630.0,124.0,291,1
301644,Male,54,1,5,1,1-2 Year,No,23638.0,11.0,72,0
179920,Female,52,1,5,0,1-2 Year,Yes,22529.0,26.0,162,0
163829,Female,35,1,4,0,1-2 Year,Yes,28202.0,124.0,131,1
37748,Male,25,1,4,0,< 1 Year,Yes,22800.0,152.0,107,0
200040,Male,40,1,2,1,1-2 Year,No,2630.0,26.0,196,0
115461,Male,52,1,5,1,1-2 Year,No,39592.0,124.0,195,0
2214,Male,48,1,3,0,1-2 Year,Yes,30026.0,125.0,42,0
175680,Male,56,1,5,1,1-2 Year,No,2630.0,124.0,71,0
176717,Male,50,1,1,1,1-2 Year,No,30114.0,26.0,113,0
124907,Male,49,1,3,0,> 2 Years,Yes,32307.0,22.0,210,0
3713,Male,24,1,2,1,< 1 Year,No,86283.0,152.0,177,0
5651,Female,21,1,5,1,< 1 Year,No,30533.0,152.0,110,0
232170,Male,40,1,1,0,1-2 Year,Yes,37838.0,26.0,185,0
118644,Female,26,1,5,1,< 1 Year,No,2630.0,151.0,130,0
218832,Female,30,1,3,1,< 1 Year,No,31084.0,152.0,255,0
198909,Female,22,1,1,0,< 1 Year,Yes,39107.0,160.0,157,0
277044,Male,46,1,5,0,1-2 Year,Yes,2630.0,26.0,252,0
92182,Female,21,1,3,1,< 1 Year,No,24065.0,160.0,104,0
202495,Female,21,1,1,0,< 1 Year,Yes,31464.0,152.0,200,0
187381,Female,50,1,5,1,1-2 Year,Yes,2630.0,124.0,55,0
249865,Male,34,1,3,0,1-2 Year,Yes,42244.0,124.0,248,0
258572,Male,25,1,4,0,< 1 Year,No,29012.0,152.0,33,0
101469,Male,51,1,1,0,1-2 Year,Yes,60324.0,26.0,111,1
153387,Female,46,1,3,0,1-2 Year,Yes,26459.0,124.0,213,1
254464,Female,49,1,1,1,1-2 Year,No,25166.0,124.0,241,0
125170,Male,70,1,1,1,1-2 Year,No,46783.0,152.0,114,0
269874,Female,38,1,3,0,1-2 Year,Yes,38215.0,124.0,162,1
265958,Male,51,1,5,1,1-2 Year,No,2630.0,52.0,190,0
275861,Female,23,1,1,1,< 1 Year,No,34622.0,152.0,256,0
295065,Female,35,1,4,0,1-2 Year,Yes,38817.0,152.0,223,1
332968,Male,49,1,3,0,1-2 Year,Yes,37922.0,124.0,207,1
242809,Female,21,1,4,0,< 1 Year,Yes,27904.0,152.0,21,0
135604,Female,24,1,5,0,< 1 Year,Yes,2630.0,152.0,141,0
95890,Male,27,1,3,1,< 1 Year,No,56190.0,152.0,80,0
296483,Male,47,1,3,0,1-2 Year,Yes,26549.0,124.0,295,0
42865,Male,40,1,1,1,1-2 Year,No,34407.0,26.0,129,0
163711,Female,24,1,5,0,< 1 Year,Yes,26381.0,160.0,85,0
9431,Male,47,1,3,0,1-2 Year,Yes,28670.0,124.0,171,0
223805,Male,35,1,3,0,1-2 Year,Yes,51939.0,124.0,46,1
345762,Male,37,1,1,0,1-2 Year,Yes,31777.0,124.0,61,0
360235,Male,22,1,4,0,< 1 Year,Yes,33801.0,152.0,188,0
317217,Male,38,1,1,0,1-2 Year,Yes,31136.0,154.0,172,1
68419,Female,22,1,5,1,< 1 Year,No,36468.0,152.0,175,0
368092,Female,24,1,2,0,< 1 Year,Yes,41919.0,152.0,13,0
272645,Female,23,1,4,1,< 1 Year,No,33890.0,152.0,298,0
142958,Male,28,1,3,1,< 1 Year,No,2630.0,152.0,162,0
368628,Male,46,1,3,0,1-2 Year,No,31527.0,26.0,110,0
261864,Male,24,1,1,1,< 1 Year,No,32886.0,152.0,96,0
23256,Female,25,1,5,0,< 1 Year,Yes,2630.0,156.0,200,0
144589,Male,45,1,3,0,> 2 Years,Yes,39990.0,26.0,226,1
380252,Male,46,1,5,1,1-2 Year,No,42942.0,8.0,111,0
351754,Female,50,1,1,0,1-2 Year,Yes,30112.0,124.0,127,0
336194,Female,24,1,1,1,< 1 Year,No,34443.0,152.0,81,0
330974,Male,34,1,3,0,> 2 Years,Yes,23742.0,124.0,92,0
346214,Male,37,1,1,0,1-2 Year,Yes,2630.0,124.0,52,0
305850,Male,22,1,5,1,< 1 Year,No,2630.0,26.0,185,0
379445,Male,25,1,3,1,< 1 Year,No,33164.0,152.0,89,0
164191,Male,61,1,1,0,1-2 Year,Yes,33283.0,124.0,276,0
80543,Male,25,1,3,1,< 1 Year,No,26275.0,152.0,96,0
229326,Male,61,1,2,1,1-2 Year,No,17934.0,124.0,110,0
356247,Female,21,1,1,1,< 1 Year,No,32348.0,160.0,234,0
301929,Female,27,1,1,0,< 1 Year,Yes,30211.0,152.0,169,1
44234,Male,23,1,3,0,1-2 Year,Yes,40523.0,26.0,244,0
50013,Male,69,0,3,0,1-2 Year,Yes,27441.0,26.0,29,0
300072,Female,21,1,1,1,< 1 Year,No,38364.0,160.0,237,0
373719,Female,64,1,3,0,1-2 Year,Yes,33633.0,26.0,47,0
33223,Male,40,1,2,0,1-2 Year,Yes,2630.0,26.0,202,1
85507,Female,26,1,1,0,< 1 Year,No,32178.0,26.0,197,0
165309,Male,58,1,3,0,1-2 Year,Yes,45089.0,163.0,281,1
98773,Female,25,1,3,1,< 1 Year,No,35094.0,152.0,262,0
380632,Male,72,1,1,1,1-2 Year,No,2630.0,7.0,224,0
83554,Male,51,1,1,1,1-2 Year,No,30102.0,124.0,221,0
102083,Male,60,1,5,1,1-2 Year,No,21922.0,26.0,229,0
319168,Male,21,1,3,0,1-2 Year,Yes,2630.0,156.0,167,0
91836,Male,48,1,3,0,1-2 Year,Yes,50526.0,124.0,13,1
373318,Male,21,1,5,0,1-2 Year,Yes,2630.0,155.0,228,1
191061,Female,21,1,3,1,< 1 Year,No,46356.0,153.0,231,0
29218,Female,25,1,5,0,< 1 Year,Yes,26354.0,152.0,287,0
86553,Male,28,1,1,1,< 1 Year,No,19927.0,152.0,275,0
310945,Female,23,1,5,1,< 1 Year,No,2630.0,152.0,110,0
45168,Male,46,1,3,0,1-2 Year,Yes,22914.0,26.0,106,1
295360,Male,48,1,2,1,1-2 Year,No,2630.0,26.0,76,0
293168,Male,33,1,2,0,1-2 Year,No,60138.0,120.0,87,0
115558,Male,23,1,2,0,< 1 Year,No,2630.0,152.0,27,0
26235,Male,36,1,3,0,1-2 Year,Yes,2630.0,156.0,119,0
172572,Female,32,1,3,0,1-2 Year,Yes,2630.0,158.0,115,1
247496,Male,24,1,3,1,< 1 Year,No,32590.0,152.0,65,0
316281,Male,55,1,1,1,1-2 Year,No,39149.0,26.0,227,0
140393,Female,39,1,3,0,> 2 Years,Yes,2630.0,156.0,210,0
270550,Female,66,1,1,0,1-2 Year,Yes,32120.0,122.0,65,0
25068,Female,23,1,4,0,< 1 Year,Yes,35131.0,152.0,28,0
74604,Male,47,1,3,0,1-2 Year,Yes,34363.0,26.0,186,0
53352,Female,25,1,2,1,< 1 Year,No,23397.0,152.0,247,0
205821,Male,30,1,2,0,1-2 Year,Yes,26902.0,157.0,142,1
343234,Male,55,1,1,1,1-2 Year,No,38071.0,124.0,292,0
283924,Female,31,1,3,0,1-2 Year,Yes,38696.0,29.0,223,0
73229,Female,33,1,3,0,< 1 Year,No,2630.0,1.0,47,0
248794,Female,23,1,1,1,< 1 Year,No,29314.0,152.0,288,0
314542,Female,22,1,5,0,< 1 Year,Yes,35487.0,26.0,219,0
333059,Male,23,1,3,0,< 1 Year,Yes,33401.0,151.0,144,0
44264,Male,45,1,3,0,1-2 Year,Yes,41226.0,26.0,164,1
13025,Male,47,1,3,0,> 2 Years,Yes,47506.0,124.0,148,1
346258,Male,26,1,3,1,< 1 Year,No,53778.0,152.0,17,0
321188,Male,32,1,4,0,1-2 Year,Yes,30673.0,124.0,265,0
55225,Male,24,1,2,1,< 1 Year,No,20391.0,152.0,39,0
130978,Female,23,1,1,1,< 1 Year,No,48102.0,26.0,146,0
32050,Male,27,1,1,1,< 1 Year,No,2630.0,160.0,79,0
271024,Male,36,1,3,0,1-2 Year,No,29315.0,13.0,75,0
312759,Male,21,1,4,0,< 1 Year,Yes,31902.0,152.0,132,0
127147,Female,41,1,2,0,1-2 Year,Yes,2630.0,124.0,84,0
17743,Female,46,1,3,1,1-2 Year,No,41682.0,60.0,148,0
288333,Female,40,1,1,1,1-2 Year,No,2630.0,157.0,174,0
323588,Female,23,1,5,1,< 1 Year,No,26510.0,152.0,271,0
318283,Male,63,1,3,0,> 2 Years,Yes,60450.0,26.0,250,1
318917,Female,31,1,3,0,< 1 Year,Yes,45607.0,154.0,28,0
2098,Female,23,1,2,0,< 1 Year,No,32864.0,152.0,284,0
299171,Female,27,1,5,1,< 1 Year,No,33593.0,152.0,113,0
12284,Female,25,1,5,1,< 1 Year,No,18933.0,152.0,295,0
137156,Male,50,1,1,0,1-2 Year,Yes,2630.0,26.0,37,0
24496,Male,38,1,1,0,1-2 Year,Yes,2630.0,156.0,78,0
23590,Male,38,1,1,0,1-2 Year,Yes,41518.0,152.0,290,1
270118,Male,37,1,3,0,1-2 Year,Yes,33235.0,124.0,25,1
252049,Male,32,1,1,1,1-2 Year,No,67354.0,124.0,15,0
354553,Female,22,1,2,1,< 1 Year,No,2630.0,160.0,257,0
140329,Female,44,1,3,0,1-2 Year,Yes,41261.0,124.0,234,0
269904,Male,30,1,3,0,< 1 Year,Yes,2630.0,152.0,290,0
248181,Female,25,1,3,1,< 1 Year,No,44568.0,152.0,25,0
44096,Female,23,1,5,1,< 1 Year,No,2630.0,152.0,79,0
24265,Female,40,1,3,0,1-2 Year,Yes,63694.0,124.0,134,0
145788,Male,43,1,3,0,1-2 Year,Yes,43213.0,26.0,263,0
120928,Female,22,1,4,1,< 1 Year,No,2630.0,152.0,299,0
52036,Female,22,1,1,0,< 1 Year,No,27902.0,152.0,64,0
6820,Female,35,1,3,0,1-2 Year,Yes,81054.0,26.0,194,0
371257,Female,22,1,3,1,< 1 Year,No,30998.0,152.0,145,0
241752,Female,32,1,3,0,< 1 Year,Yes,2630.0,160.0,149,0
376343,Male,65,1,1,1,1-2 Year,No,35772.0,31.0,177,0
193482,Male,68,1,3,1,1-2 Year,No,37536.0,122.0,190,0
65111,Male,26,1,3,1,< 1 Year,No,26525.0,152.0,54,0
286614,Male,53,1,3,0,1-2 Year,Yes,2630.0,26.0,244,1
170500,Male,52,1,3,0,1-2 Year,Yes,55740.0,26.0,106,1
310191,Female,23,1,5,1,< 1 Year,No,27000.0,152.0,226,0
7639,Male,36,1,3,1,1-2 Year,No,2630.0,152.0,207,0
217671,Male,21,1,2,0,< 1 Year,Yes,39598.0,152.0,183,1
357432,Female,26,1,4,1,< 1 Year,No,36802.0,152.0,253,0
205711,Male,32,1,2,0,< 1 Year,Yes,2630.0,152.0,243,0
218734,Male,33,1,3,0,1-2 Year,Yes,33656.0,156.0,277,0
5903,Female,25,1,1,1,< 1 Year,No,60126.0,152.0,260,0
194881,Male,41,1,1,0,1-2 Year,Yes,25690.0,122.0,184,0
214246,Male,37,1,3,0,1-2 Year,Yes,49877.0,124.0,250,1
363509,Male,23,1,4,0,< 1 Year,Yes,2630.0,152.0,292,0
326531,Female,67,1,4,0,1-2 Year,Yes,2630.0,26.0,249,0
321887,Female,45,1,3,1,1-2 Year,No,46707.0,52.0,160,0
130388,Female,28,1,4,0,< 1 Year,Yes,29219.0,152.0,116,0
86620,Female,42,1,3,1,1-2 Year,No,33435.0,124.0,87,0
1724,Female,50,1,5,0,1-2 Year,Yes,2630.0,124.0,56,1
61396,Male,53,1,4,1,1-2 Year,No,22477.0,124.0,75,0
129639,Male,53,1,2,1,1-2 Year,No,36683.0,26.0,117,0
69553,Female,38,1,3,1,1-2 Year,No,35177.0,120.0,183,0
114448,Male,46,1,3,1,1-2 Year,No,61375.0,124.0,124,0
190577,Female,22,1,3,1,< 1 Year,No,29905.0,152.0,24,0
102863,Female,42,1,2,1,1-2 Year,Yes,33891.0,26.0,11,0
232080,Male,65,1,3,0,1-2 Year,Yes,45118.0,26.0,71,0
177028,Female,22,1,1,0,< 1 Year,Yes,27775.0,152.0,250,0
292385,Male,32,1,3,0,< 1 Year,Yes,28360.0,124.0,184,1
91271,Female,66,1,3,0,1-2 Year,Yes,43790.0,13.0,20,0
29916,Male,45,1,3,1,1-2 Year,No,25237.0,26.0,182,0
126099,Male,32,1,5,1,< 1 Year,Yes,2630.0,156.0,34,0
147489,Male,66,1,5,1,1-2 Year,Yes,25310.0,152.0,260,0
239799,Male,24,1,5,1,< 1 Year,No,25724.0,152.0,141,0
209818,Male,27,1,3,1,< 1 Year,No,51871.0,152.0,119,0
4786,Female,23,1,5,1,< 1 Year,No,16322.0,26.0,111,0
72290,Female,28,1,5,0,< 1 Year,No,31606.0,152.0,267,0
76823,Male,28,1,5,1,< 1 Year,No,22461.0,152.0,267,0
63527,Female,34,1,5,0,1-2 Year,Yes,52893.0,29.0,213,0
173501,Female,27,1,3,1,< 1 Year,No,16466.0,152.0,245,0
121893,Male,22,1,4,0,< 1 Year,Yes,27194.0,152.0,190,0
108621,Male,43,1,2,0,1-2 Year,Yes,39333.0,26.0,200,1
71872,Male,68,1,5,0,1-2 Year,Yes,20028.0,26.0,195,0
81049,Female,52,1,5,1,1-2 Year,No,31232.0,94.0,244,0
103074,Female,43,1,2,0,1-2 Year,Yes,22621.0,155.0,247,0
105702,Female,68,1,5,0,> 2 Years,Yes,2630.0,26.0,23,0
100100,Male,22,1,4,1,< 1 Year,No,37572.0,152.0,32,0
282021,Female,40,1,1,0,> 2 Years,Yes,55644.0,26.0,161,0
191729,Female,25,1,3,0,< 1 Year,Yes,22494.0,152.0,261,0
59100,Male,62,1,2,0,> 2 Years,Yes,2630.0,26.0,207,1
54215,Male,44,1,3,0,1-2 Year,Yes,92716.0,124.0,69,1
274427,Female,41,1,3,1,1-2 Year,No,30540.0,124.0,122,0
207457,Male,47,1,2,0,1-2 Year,Yes,2630.0,124.0,244,0
186574,Male,27,1,1,1,< 1 Year,No,37025.0,152.0,31,0
212002,Male,68,1,5,0,1-2 Year,Yes,2630.0,122.0,106,0
42776,Male,65,1,2,0,1-2 Year,Yes,30931.0,124.0,161,0
194726,Male,44,1,5,0,1-2 Year,Yes,2630.0,157.0,11,1
161617,Female,21,1,1,0,< 1 Year,Yes,25031.0,163.0,34,0
362323,Male,36,1,1,0,1-2 Year,Yes,29579.0,124.0,202,0
19826,Female,31,1,5,1,< 1 Year,No,41236.0,160.0,93,0
74532,Male,63,1,1,1,1-2 Year,No,59458.0,26.0,12,0
142210,Female,27,1,3,1,< 1 Year,No,53299.0,152.0,177,0
145291,Female,22,1,3,0,< 1 Year,No,20389.0,152.0,264,0
234917,Male,53,1,4,0,1-2 Year,Yes,2630.0,124.0,140,0
298775,Female,28,1,1,1,< 1 Year,No,24992.0,152.0,269,0
110644,Male,27,1,1,1,< 1 Year,No,26851.0,152.0,179,0
291755,Male,50,1,3,0,> 2 Years,Yes,47647.0,124.0,227,0
369022,Male,46,1,3,1,1-2 Year,No,23511.0,47.0,228,0
294206,Female,43,1,3,0,1-2 Year,Yes,39067.0,26.0,39,1
236368,Male,54,1,3,0,1-2 Year,Yes,33582.0,124.0,209,0
227311,Female,23,1,2,1,< 1 Year,No,39029.0,152.0,262,0
350273,Male,49,1,1,1,1-2 Year,No,40207.0,124.0,101,0
170913,Male,39,1,3,0,> 2 Years,Yes,2630.0,157.0,132,0
275132,Female,73,1,1,0,> 2 Years,Yes,2630.0,26.0,293,1
368398,Male,72,1,3,1,1-2 Year,No,51358.0,124.0,100,0
249746,Female,31,1,2,1,1-2 Year,Yes,23229.0,29.0,179,0
107018,Female,76,1,3,0,1-2 Year,Yes,61764.0,124.0,265,1
235190,Male,75,1,4,0,1-2 Year,Yes,2630.0,26.0,182,0
47384,Male,58,1,5,0,> 2 Years,Yes,48211.0,124.0,26,1
12606,Male,38,1,3,0,1-2 Year,Yes,34186.0,124.0,293,1
197548,Female,42,1,5,0,1-2 Year,Yes,23381.0,26.0,70,0
332942,Female,66,1,3,0,1-2 Year,Yes,27376.0,26.0,241,0
92359,Female,27,1,3,1,< 1 Year,No,41242.0,152.0,275,0
114553,Male,59,1,5,1,1-2 Year,No,41273.0,16.0,80,0
310880,Female,73,1,3,0,> 2 Years,Yes,43031.0,122.0,251,0
243234,Male,41,1,3,1,1-2 Year,No,2630.0,26.0,258,0
170578,Female,67,1,3,1,1-2 Year,No,2630.0,152.0,143,0
282292,Male,70,1,5,0,1-2 Year,Yes,2630.0,156.0,258,0
228442,Male,47,1,3,1,1-2 Year,No,26203.0,124.0,269,0
301322,Male,33,1,2,1,< 1 Year,No,32241.0,131.0,48,0
4906,Female,47,1,3,0,1-2 Year,Yes,29114.0,124.0,35,1
128926,Male,38,1,5,0,1-2 Year,Yes,23489.0,124.0,263,0
340527,Male,79,1,3,1,1-2 Year,No,2630.0,158.0,244,0
98805,Female,29,1,3,1,< 1 Year,No,38374.0,152.0,204,0
102401,Male,61,1,3,0,1-2 Year,Yes,49430.0,26.0,139,1
350662,Male,41,1,3,0,1-2 Year,Yes,2630.0,124.0,40,0
134159,Female,48,1,3,0,1-2 Year,Yes,33665.0,147.0,105,1
57368,Male,51,1,5,1,1-2 Year,No,25419.0,26.0,231,0
347744,Female,36,1,3,0,1-2 Year,Yes,32003.0,124.0,123,0
358112,Female,34,1,3,1,1-2 Year,No,100825.0,152.0,81,0
222346,Female,39,1,1,0,1-2 Year,Yes,35588.0,26.0,205,0
217390,Male,51,1,1,0,1-2 Year,Yes,2630.0,25.0,253,0
271352,Male,49,1,3,0,> 2 Years,Yes,2630.0,124.0,48,0
251509,Male,24,1,4,1,< 1 Year,No,46099.0,152.0,230,0
235082,Male,32,1,3,1,1-2 Year,No,44273.0,124.0,298,0
372069,Male,49,1,3,1,1-2 Year,No,2630.0,154.0,257,0
258018,Male,22,1,3,0,< 1 Year,Yes,2630.0,152.0,192,1
354715,Female,23,1,5,0,1-2 Year,Yes,37635.0,26.0,94,0
194392,Male,27,1,1,1,< 1 Year,No,36815.0,152.0,117,0
153581,Male,37,1,4,0,1-2 Year,No,27505.0,124.0,251,0
239152,Female,24,1,1,1,< 1 Year,No,36383.0,152.0,112,0
36977,Female,38,1,3,0,1-2 Year,Yes,32183.0,155.0,282,1
219876,Female,45,1,3,0,> 2 Years,Yes,37935.0,124.0,231,0
29891,Female,41,1,3,0,> 2 Years,Yes,47844.0,124.0,54,1
180321,Male,36,1,3,1,1-2 Year,No,32399.0,37.0,296,0
73321,Female,22,1,1,1,< 1 Year,No,20926.0,152.0,23,0
239965,Female,25,1,4,0,1-2 Year,Yes,23054.0,124.0,203,0
184707,Female,63,1,3,0,1-2 Year,Yes,42716.0,26.0,72,0
232711,Male,62,1,1,0,1-2 Year,Yes,2630.0,124.0,261,1
317015,Female,37,1,3,0,1-2 Year,Yes,51136.0,122.0,71,0
